playerID,playerName,position
10157,Johnny Holton,WR
14510,Bob McChesney,E
3608,Milt Carthens,T
22349,Bill Tobin,HB
2447,Pete Brock ,C-T-G
12878,Danny Lansanah,LB
11479,Ken Jolly,LB
4931,Justice Cunningham,TE
4269,Stacy Coley,WR
5515,Moses Denson,RB
12122,Jimmy Kennedy ,FB
12475,Art Koeninger,C
8334,Don Greco,G
14798,Joe McGrail,NT
4775,Joel Crisman,G
10984,Garland Jean-Batiste,RB
24633,Donovan Woods,LB
12588,Joe Kraker,G
681,K.C. Asiodu,LB
18156,Donovan Raiola,C
17130,Will Parks,S
23066,Clive Walford,TE
18115,Derek Rackley,TE
2833,Antonio Bryant,WR
21742,Lorenzo Taliaferro,RB
18384,Ken Reese,HB-QB
23352,Mike Washington,DB
7874,Marcus Gilchrist,DB
22882,Ted Vaught,DE-E
18494,Fuad Reveiz,K
11416,Shelton Johnson,S
17484,Russ Peterson,TB
16474,Al Noga,DE-DT
6049,Troy Dumas,LB
11571,Eddie Jones,DE
2232,Donny Brady,DB
23752,Cody White,G
11430,Teyo Johnson,TE
10141,Tyrone Holmes,OLB
23080,Cleo Walker,LB-C
8549,Bob Grim,WR
5933,Tommie Draheim,C
3681,Mike Caterbone,WR
22263,Bruce Threadgill,DB-QB
4816,Al Crook,C-G-T
18502,Bill Reynolds,HB
18190,Marcus Randall,DB
21473,Morris Stroud ,TE
3190,Jeff Byers,C
3500,Roger Carr,WR
24509,Don Wiper,BB
21687,Jeff Sydner,WR
24718,Dwayne Wright,RB
2325,Bashaud Breeland,CB
3541,Kern Carson,HB
1886,Ed Blount,QB
4768,Joe Cribbs,RB
17621,Brian Pillman,LB
6628,Jason Fabini,T
20253,Carl Silvestri,DB
11714,Thurmon Jones,FB-DB
16922,Chad Overhauser,T
8283,Larry Grantham ,LB
4885,Larry Csonka ,RB
15807,Tom Moriarty,DB
15381,Lawyer Milloy,DB
23593,Mike Wells,QB
1168,Sebastian Barrie,DE-DT
20915,Rick Sortun,G
12605,Dan Kratzer,WR
19325,Tim Ryan,G
21311,Jim Stifler,E-WB
16718,Sammy Odom,DT
6066,Brian Duncan,RB
18416,Jerry Reichow,E-QB
12822,Jim Landrigan,T
7202,Sid Fournet,G-LB-DB
10210,Dick Horn,QB
6829,Keith Ferguson ,DE
23769,Gene White,HB
21083,Robert Stallings,TE
24009,Calvin Williams,WR
3532,Leonte Carroo,WR
17040,Kevin Pamphile,OT
6318,Tyler Eifert,TE
11177,Billy Johnson ,WR
3633,Pete Casey,WB-HB
6143,Bob Dwyer,WB
7787,Jammi German,WR
13707,Mel Lunsford,DE-DT-NT
14862,Leodis McKelvin,DB
13719,Scott Lutrus,LB
12870,Anthony Lanier ,DE
23469,Cephus Weatherspoon,WR
1672,McLeod Bethel-Thompson,QB
670,Cliff Ashburn,G-T-E
753,Raymond Austin,DB
8967,Duke Hanny,E-T-G-FB
21292,Kordell Stewart,QB
1320,Winnie Baze,B
2763,Jim Browne,RB
13422,David Little,LB
11414,Sam Johnson,WR
20402,Jim Sivell,G
11438,Tommy Johnson,DB
