Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,year
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
351,Andy Janovich,DEN,RB,23,11,5,0,0,0,0,0,4,33,8.25,1,7,5,44,8.80,0,0,0,1,,,14,18.7,18.7,16.2,,101,,2016
352,Brandon Myers,TAM,TE,31,16,9,0,0,0,0,0,0,0,,0,14,7,59,8.43,1,0,0,1,1,,14,20.9,20.9,17.4,,66,,2016
353,Walt Powell,BUF,WR,25,9,2,0,0,0,0,0,0,0,,0,25,14,142,10.14,0,0,0,0,,,14,28.2,31.2,21.2,,137,,2016
354,Larry Donnell,NYG,TE,28,14,6,0,0,0,0,0,0,0,,0,22,15,92,6.13,1,1,1,1,,,13,28.2,29.2,20.7,,67,,2016
355,Arian Foster,MIA,RB,30,4,2,0,0,0,0,0,22,55,2.50,0,10,6,78,13.00,0,1,0,0,,,13,19.3,19.3,16.3,,103,,2016
356,Crockett Gillmore,BAL,TE,25,7,5,0,0,0,0,0,0,0,,0,14,8,71,8.88,1,0,0,1,,,13,21.1,21.1,17.1,,69,,2016
357,Chris Harper,SFO,WR,23,9,2,0,0,0,0,0,0,0,,0,21,13,133,10.23,0,0,0,0,,,13,26.3,29.3,19.8,,138,,2016
358,Chris Moore,BAL,WR,23,15,0,0,0,0,0,0,3,19,6.33,0,16,7,46,6.57,0,1,0,1,,,13,19.5,19.5,16.0,,143,,2016
359,Nick O'Leary,BUF,RB,24,16,7,0,0,0,0,0,0,0,,0,14,9,114,12.67,0,0,0,0,1,,13,22.4,25.4,17.9,,102,,2016
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,2016
